x,y,cluster
0.301,0.93,0
0.653,0.819,3
0.484,0.084,4
0.684,0.8,3
0.392,0.086,1
0.115,0.816,0
0.471,0.075,4
0.444,0.054,4
0.439,0.75,3
0.486,0.722,3
0.643,0.745,3
0.062,0.813,0
0.324,0.04,1
0.484,0.078,4
0.705,0.77,3
0.535,0.095,4
0.945,0.57,2
0.659,0.841,3
0.749,0.867,3
0.308,0.94,0
0.508,0.029,4
0.323,0.906,0
0.95,0.54,2
0.4,0.758,3
0.497,0.043,4
0.555,0.066,4
0.747,0.79,3
0.294,0.865,0
0.3,0.86,0
0.084,0.778,0
0.252,0.512,0
0.99,0.58,2
0.675,0.811,3
0.744,0.872,3
0.456,0.077,4
0.479,0.047,4
0.006,0.765,0
1.066,0.52,2
0.205,0.498,0
0.317,0.981,0
0.967,0.522,2
0.266,0.936,0
0.517,0.027,4
0.371,0.064,1
0.554,0.107,4
0.426,0.103,1
0.253,0.921,0
0.432,0.122,1
0.366,0.092,1
0.49,0.09,4
0.99,0.576,2
0.249,0.492,0
1.035,0.545,2
0.72,0.812,3
0.491,0.087,4
0.474,0.016,4
0.309,0.542,0
0.086,0.831,0
0.259,1.02,0
0.27,0.476,0
0.423,0.735,3
0.51,0.107,4
0.163,0.455,0
0.434,0.769,3
0.33,0.491,0
0.396,0.722,0
0.796,0.821,3
0.062,0.808,0
0.324,0.833,0
0.247,0.444,0
0.995,0.453,2
0.968,0.513,2
0.334,0.41,0
0.233,0.898,0
0.466,0.087,4
0.679,0.762,3
0.493,0.119,4
0.335,1.003,0
0.438,0.775,3
0.41,0.044,1
0.55,0.038,4
0.403,0.076,1
0.327,0.488,0
0.62,0.796,3
0.309,0.906,0
0.498,0.667,3
0.638,0.814,3
0.999,0.526,2
0.697,0.73,3
0.263,0.503,0
0.317,0.097,1
0.444,0.001,4
0.542,0.099,4
0.392,0.707,0
0.239,0.498,0
0.508,0.625,3
0.277,0.956,0
0.292,0.477,0
0.46,0.014,4
0.042,0.762,0
0.299,0.94,0
0.418,0.083,1
0.533,0.048,4
0.292,0.384,1
0.641,0.854,3
0.461,0.761,3
0.225,0.53,0
0.686,0.807,3
0.395,0.743,0
0.517,0.8,3
0.43,0.714,3
0.494,0.039,4
0.47,0.746,3
0.451,0.693,3
0.522,0.129,4
0.498,0.04,4
0.279,0.927,0
0.458,0.714,3
0.345,0.021,1
0.06,0.807,0
0.284,0.508,0
1.014,0.518,2
0.262,0.538,0
0.699,0.771,3
0.503,0.078,4
0.93,0.473,2
0.944,0.577,2
0.516,0.189,4
0.497,0.052,4
0.558,0.091,4
0.527,0.126,4
0.268,0.893,0
0.713,0.769,3
0.97,0.541,2
0.278,0.953,0
0.295,0.855,0
0.959,0.559,2
0.459,0.629,3
1.003,0.519,2
0.451,0.688,3
0.958,0.537,2
0.485,0.065,4
0.26,0.522,0
0.429,0.046,1
0.334,0.538,0
0.414,0.718,3
0.078,0.756,0
0.525,0.063,4
0.302,0.993,0
0.104,0.808,0
0.662,0.845,3
0.429,0.105,1
0.656,0.85,3
0.473,0.131,4
0.978,0.511,2
0.374,0.665,0
0.517,0.712,3
0.47,0.094,4
0.972,0.56,2
0.3,0.957,0
0.526,0.07,4
0.258,0.478,0
0.658,0.862,3
0.311,0.022,1
0.279,0.948,0
0.576,0.093,4
0.419,0.706,3
0.397,0.071,1
0.085,0.765,0
0.28,0.937,0
0.057,0.812,0
1.058,0.517,2
0.478,0.712,3
0.327,0.084,1
0.371,0.04,1
0.521,0.086,4
0.308,0.915,0
0.031,0.788,0
0.694,0.806,3
0.724,0.802,3
0.089,0.779,0
0.218,0.535,0
0.567,0.766,3
0.428,0.047,1
0.436,0.772,3
0.639,0.846,3
0.562,0.032,4
0.45,0.691,3
0.428,0.776,3
0.938,0.59,2
0.447,0.71,3
0.7,0.788,3
0.455,0.055,4
0.327,0.884,0
0.215,0.58,0
0.32,0.925,0
0.342,0.091,1
0.256,0.885,0
0.286,0.541,0
0.312,0.542,0
0.39,0.062,1
0.504,0.087,4
0.547,0.047,4
0.127,0.742,0
0.1,0.756,0
0.557,0.012,4
0.107,0.754,0
0.66,0.825,3
0.435,0.101,1
0.536,0.115,4
0.306,0.905,0
0.487,0.061,4
0.331,0.9,0
0.705,0.754,3
0.76,0.8,3
0.255,0.904,0
0.341,0.923,0
0.945,0.583,2
0.627,0.733,3
0.278,0.89,0
0.659,0.806,3
0.28,0.9,0
0.993,0.548,2
0.291,0.518,0
0.468,0.767,3
0.132,0.799,0
1.046,0.513,2
1.009,0.558,2
0.197,0.922,0
0.457,0.717,3
0.428,0.639,3
0.266,0.551,0
0.292,0.51,0
0.537,0.076,4
0.355,0.437,0
0.408,0.043,1
0.74,0.816,3
0.079,0.775,0
0.727,0.78,3
0.394,0.065,1
0.966,0.545,2
0.62,0.871,3
0.661,0.748,3
0.302,0.082,1
0.993,0.592,2
0.435,0.776,3
0.682,0.878,3
0.514,0.044,4
0.337,0.924,0
0.448,0.716,3
0.141,0.757,0
0.985,0.624,2
0.314,0.987,0
0.502,0.138,4
0.938,0.482,2
0.459,0.653,3
0.568,0.103,4
0.937,0.555,2
0.981,0.582,2
0.311,0.559,0
0.356,0.038,1
0.293,0.491,0
0.427,0.043,1
0.269,0.881,0
0.427,0.686,3
0.59,0.89,3
0.169,0.781,0
0.219,0.925,0
0.931,0.46,2
0.695,0.808,3
0.435,0.763,3
0.079,0.737,0
0.317,0.96,0
0.541,0.075,4
0.537,0.143,4
0.26,0.506,0
0.943,0.507,2
0.392,0.06,1
0.559,0.056,4
0.489,0.68,3
0.321,0.886,0
0.498,0.008,4
0.345,0.935,0
0.115,0.708,0
0.375,0.024,1
0.36,0.701,0
0.367,0.055,1
0.031,0.786,0
0.683,0.785,3
0.492,0.007,4
0.54,0.082,4
0.358,0.947,0
0.09,0.803,0
0.045,0.795,0
0.703,0.862,3
0.434,0.78,3
0.5,0.045,4
1.01,0.579,2
0.379,0.043,1
0.353,0.047,1
0.736,0.792,3
0.304,0.51,0
0.667,0.806,3
0.97,0.551,2
0.098,0.744,0
0.995,0.524,2
0.387,0.694,0
0.714,0.806,3
0.674,0.814,3
0.032,0.753,0
0.342,0.05,1
0.424,0.708,3
0.051,0.814,0
0.326,0.981,0
0.41,0.748,3
0.486,0.052,4
0.971,0.536,2
0.972,0.627,2
0.254,0.515,0
0.483,0.055,4
0.235,0.928,0
0.087,0.836,0
0.453,0.057,4
0.219,0.879,0
0.467,0.069,4
0.131,0.832,0
0.106,0.775,0
0.094,0.803,0
0.25,0.861,0
0.321,0.062,1
0.285,0.888,0
0.417,0.693,3
0.658,0.794,3
0.312,0.484,0
0.261,0.46,0
0.452,0.742,3
0.326,0.953,0
0.077,0.771,0
0.429,0.692,3
0.99,0.554,2
0.406,0.045,1
0.294,0.51,0
0.391,0.065,1
0.961,0.588,2
0.969,0.433,2
0.224,0.443,0
0.248,0.866,0
0.349,0.476,0
0.27,0.478,0
0.084,0.755,0
0.69,0.756,3
0.104,0.828,0
0.745,0.8,3
0.48,0.071,4
0.468,0.063,4
0.354,0.105,1
1.008,0.557,2
0.37,0.935,0
0.404,0.004,1
0.404,0.061,1
0.46,0.052,4
0.393,0.035,1
0.116,0.822,0
0.124,0.922,0
0.454,0.103,4
0.457,0.081,4
0.219,0.406,0
0.622,0.805,3
0.738,0.766,3
0.219,0.567,0
0.536,0.082,4
0.36,0.747,0
1.011,0.521,2
0.295,0.581,0
0.266,0.917,0
0.443,0.673,3
0.107,0.8,0
0.344,0.878,0
0.974,0.551,2
0.463,0.727,3
0.635,0.769,3
0.106,0.753,0
0.368,0.034,1
0.66,0.778,3
0.914,0.538,2
0.262,0.904,0
0.277,0.548,0
0.394,0.043,1
0.016,0.844,0
0.644,0.812,3
0.286,0.565,0
0.417,0.764,3
0.384,0,1
0.538,0.142,4
0.65,0.8,3
0.495,0.032,4
0.234,0.508,0
0.366,0.755,0
0.34,0.044,1
0.469,0.669,3
0.135,0.766,0
0.478,0.761,3
0.672,0.757,3
0.438,0.093,1
0.296,0.868,0
0.283,0.991,0
0.978,0.555,2
0.493,0.026,4
0.966,0.547,2
0.271,0.853,0
0.508,0.066,4
0.28,0.969,0
0.228,0.509,0
1.032,0.586,2
0.253,0.473,0
0.092,0.827,0
0.319,0.366,1
0.71,0.78,3
0.076,0.774,0
0.596,0.813,3
0.668,0.767,3
0.291,0.038,1
0.043,0.72,0
0.957,0.557,2
0.976,0.531,2
0.655,0.837,3
0.361,0.032,1
0.476,0.718,3
0.983,0.533,2
0.313,1.016,0
0.472,0.075,4
0.445,0.722,3
0.254,0.445,0
0.382,0.096,1
0.298,0.473,0
0.289,0.922,0
0.483,0.11,4
0.578,0.087,4
0.285,0.935,0
0.254,0.998,0
0.367,0.109,1
0.419,0.644,3
0.506,0.11,4
0.498,0.64,3
0.533,0.007,4
0.281,0.955,0
0.248,0.498,0
0.657,0.786,3
0.35,0.507,0
0.108,0.848,0
0.326,0.923,0
0.145,0.712,0
0.971,0.576,2
0.626,0.793,3
0.114,0.771,0
0.697,0.846,3
0.307,0.894,0
0.207,0.496,0
0.613,0.837,3
0.096,0.81,0
0.739,0.877,3
0.271,0.898,0
0.274,0.513,0
0.057,0.727,0
0.202,0.498,0
0.439,0.016,1
0.63,0.8,3
0.471,0.756,3
0.479,0.654,3
0.274,0.91,0
0.029,0.792,0
0.692,0.886,3
0.89,0.553,2
0.489,0.702,3
0.946,0.571,2
0.128,0.782,0
0.472,0.799,3
0.075,0.722,0
0.909,0.59,2
0.307,0.937,0
0.393,0.767,0
0.392,0.721,0
0.432,0.7,3
0.67,0.797,3
0.997,0.565,2
0.264,0.466,0
0.401,0.142,1
0.369,0.088,1
0.93,0.622,2
0.989,0.503,2
0.076,0.767,0
0.446,0.09,4
0.689,0.791,3
0.973,0.589,2
0.07,0.759,0
0.053,0.728,0
0.452,0.707,3
0.314,0.905,0
0.355,0.018,1
0.399,0.77,3
0.501,0.053,4
0.333,0.056,1
0.299,0.499,0
0.377,0.075,1
0.323,0.917,0
0.267,0.947,0
0.44,0.148,4
0.386,0.029,1
0.419,0.704,3
0.13,0.788,0
0.996,0.561,2
0.429,0.729,3
0.472,0.728,3
0.615,0.866,3
0.656,0.837,3
0.299,0.879,0
0.366,0.025,1
0.431,0.661,3
0.307,0.502,0
0.01,0.764,0
1.008,0.527,2
0.67,0.787,3
0.09,0.759,0
0.064,0.819,0
0.503,0.062,4
0.452,0.681,3
0.442,0.732,3
0.272,0.879,0
0.383,0.781,0
0.317,0.936,0
0.72,0.779,3
0.286,0.543,0
0.954,0.603,2
0.05,0.731,0
1.001,0.521,2
0.284,0.889,0
0.51,0.032,4
0.007,0.793,0
1.032,0.511,2
0.41,0.003,1
0.063,0.769,0
0.968,0.529,2
0.37,0.936,0
0.513,0.079,4
0.5,0.078,4
0.526,0.085,4
0.481,0.012,4
0.741,0.704,3
0.485,0.735,3
0.251,0.933,0
0.483,0.172,4
0.538,0.067,4
0.714,0.836,3
0.481,0.039,4
0.32,0.964,0
0.406,0.69,3
0.991,0.521,2
0.333,0.472,0
1,0.545,2
0.455,0.077,4
0.588,0.077,4
0.682,0.79,3
0.265,0.963,0
0.081,0.729,0
0.314,0.547,0
0.323,0.917,0
0.273,0.484,0
0.258,0.499,0
0.26,0.528,0
0.515,0.047,4
0.439,0.711,3
0.27,0.918,0
0.051,0.826,0
0.022,0.795,0
0.249,0.864,0
0.463,0.787,3
0.18,0.815,0
0.606,0.736,3
0.304,0.886,0
0.316,0.927,0
0.617,0.75,3
1.005,0.668,2
0.047,0.806,0
1.047,0.53,2
0.35,0.064,1
0.422,0.73,3
0.65,0.83,3
0.358,0.059,1
0.183,0.469,0
1.044,0.478,2
0.669,0.85,3
0.536,0.763,3
0.223,0.45,0
1.01,0.55,2
0.429,0.716,3
0.45,0.772,3
0.349,0.927,0
0.454,0.052,4
0.421,0.693,3
0.254,0.893,0
0.05,0.77,0
0.304,0.522,0
0.395,0.635,0
0.405,0.757,3
0.413,0.065,1
0.979,0.552,2
0.191,0.887,0
0.512,0.063,4
0.754,0.777,3
0.671,0.855,3
0.34,0.122,1
0.391,0.696,0
0.617,0.874,3
0.499,0.097,4
0.545,0.091,4
0.577,0.037,4
0.497,0.122,4
0.416,0.746,3
0.464,0.109,4
0.964,0.542,2
0.276,0.445,0
0.222,0.547,0
0.364,0.83,0
0.683,0.773,3
1.008,0.485,2
0.402,0.705,3
0.719,0.815,3
0.367,0.047,1
1.107,0.475,2
0.415,0.071,1
0.996,0.53,2
0.279,0.959,0
0.365,0.671,0
0.13,0.702,0
0.114,0.769,0
0.372,0.058,1
0.393,0.045,1
1.004,0.508,2
0.336,0.909,0
0.965,0.541,2
0.414,0.041,1
0.506,0.754,3
0.308,0.954,0
0.445,0.045,4
0.287,0.46,0
0.296,0.89,0
0.319,0.927,0
0.691,0.863,3
0.36,0.009,1
0.99,0.572,2
0.257,0.968,0
0.926,0.513,2
1.001,0.496,2
0.297,0.88,0
0.465,0.086,4
0.472,0.039,4
0.026,0.756,0
0.367,0.041,1
0.282,0.837,0
0.325,0.961,0
0.02,0.725,0
0.329,0.095,1
0.374,0.679,0
0.609,0.776,3
0.454,0.093,4
0.399,0.726,3
0.394,0.881,3
0.089,0.782,0
0.469,0.062,4
0.529,0.103,4
0.404,0.055,1
0.274,0.822,0
0.406,0.715,3
0.379,0.102,1
0.598,0.833,3
0.522,0.068,4
0.527,0.022,4
0.662,0.767,3
0.243,0.446,0
0.349,0.718,0
1.028,0.591,2
0.432,0.042,1
0.494,0.013,4
0.06,0.725,0
0.694,0.825,3
0.022,0.756,0
1.013,0.494,2
0.264,0.537,0
1.031,0.504,2
0.144,0.742,0
0.304,0.948,0
0.262,0.944,0
0.516,0.115,4
0.387,0.082,1
0.677,0.721,3
0.34,0.962,0
0.414,0.694,3
0.525,0.045,4
0.253,0.922,0
0.078,0.761,0
0.256,0.889,0
1.044,0.588,2
0.982,0.508,2
0.407,0.056,1
0.272,0.932,0
0.315,0.859,0
0.416,0.124,1
0.276,0.909,0
0.467,0.672,3
0.367,0.982,0
1.013,0.525,2
0.395,0.072,1
0.083,0.76,0
0.431,0.074,1
0.084,0.784,0
0.374,0.726,0
0.212,0.546,0
0.884,0.534,2
0.109,0.756,0
0.061,0.817,0
0.684,0.854,3
0.511,0.136,4
0.691,0.804,3
0.485,0.072,4
0.304,0.907,0
0.45,0.718,3
0.46,0.846,3
0.477,0.747,3
0.324,0.817,0
0.267,0.927,0
1.021,0.58,2
0.646,0.829,3
0.478,0.019,4
0.367,0.099,1
0.275,0.917,0
0.652,0.838,3
0.092,0.766,0
0.387,0.046,1
0.231,0.465,0
0.332,0.896,0
0.446,0.762,3
0.471,0.046,4
0.265,0.878,0
0.275,0.924,0
1.039,0.558,2
0.331,0.509,0
0.119,0.73,0
0.68,0.814,3
0.658,0.815,3
1,0.528,2
0.463,0.663,3
0.546,0.017,4
0.703,0.839,3
0.435,0.032,1
0.994,0.521,2
0.103,0.886,0
0.633,0.801,3
0.721,0.845,3
0.221,0.454,0
0.089,0.823,0
0.516,0.079,4
0.439,0.658,3
0.333,0.862,0
0.44,0.06,1
1.043,0.585,2
0.281,0.475,0
0.253,0.956,0
0.972,0.496,2
0.323,0.961,0
1.039,0.423,2
0.456,0.032,4
0.442,0.729,3
0.322,0.101,1
0.415,0.713,3
0.248,0.935,0
0.537,0.009,4
0.273,0.896,0
0.325,0.483,0
0.276,0.423,0
0.377,0.027,1
0.075,0.771,0
0.323,0.928,0
0.505,0.063,4
0.559,0.069,4
0.344,0.05,1
0.4,0.005,1
0.233,0.51,0
0.471,0.036,4
0.327,0.88,0
0.03,0.772,0
0.249,0.945,0
0.256,0.956,0
0.24,0.918,0
0.302,0.441,0
0.233,0.508,0
0.457,0.723,3
0.349,0.94,0
0.645,0.827,3
0.205,0.506,0
0.493,0.058,4
0.286,0.495,0
0.423,0.901,3
0.688,0.809,3
0.675,0.797,3
0.117,0.758,0
0.994,0.432,2
0.256,0.44,0
0.698,0.831,3
0.968,0.503,2
1.052,0.507,2
0.551,0.051,4
0.452,0.755,3
0.35,0.715,0
0.055,0.687,0
0.628,0.767,3
0.483,0.078,4
0.411,0.736,3
0.642,0.761,3
0.284,0.975,0
0.611,0.758,3
0.488,0.124,4
0.267,0.913,0
0.387,0.066,1
0.168,0.548,0
0.481,0.71,3
0.274,0.821,0
0.105,0.827,0
0.236,0.493,0
1.03,0.492,2
0.52,0.052,4
0.369,0.089,1
0.297,0.418,0
0.515,0.045,4
0.091,0.801,0
0.277,0.541,0
0.305,0.576,0
0.673,0.759,3
0.286,0.95,0
0.474,0.152,4
0.459,0.717,3
0.387,0.1,1
0.518,0.097,4
0.295,0.905,0
0.664,0.806,3
0.49,0.752,3
0.386,0.006,1
0.666,0.774,3
0.372,0.096,1
0.553,0.081,4
0.376,0.053,1
0.082,0.76,0
0.39,0.089,1
0.279,0.419,0
0.986,0.531,2
0.076,0.742,0
0.441,0.053,1
0.422,0.028,1
0.081,0.787,0
0.918,0.526,2
0.599,0.088,4
0.387,0.745,0
0.663,0.802,3
0.715,0.793,3
0.239,0.912,0
0.062,0.846,0
0.568,0.106,4
0.284,0.456,0
0.478,0.696,3
0.665,0.798,3
0.705,0.85,3
0.982,0.573,2
0.085,0.823,0
0.379,0.078,1
0.403,0.044,1
0.276,0.94,0
0.725,0.741,3
0.287,0.536,0
1.009,0.487,2
0.445,0.717,3
0.251,0.449,0
0.632,0.784,3
0.265,0.428,0
1.009,0.536,2
0.464,0.711,3
0.902,0.501,2
0.443,0.134,4
0.41,0.067,1
0.441,0.707,3
1.017,0.539,2
0.479,0.172,4
0.451,0.641,3
0.131,0.827,0
0.259,0.995,0
0.718,0.79,3
0.422,0.005,1
0.224,0.498,0
0.62,0.806,3
0.502,0.106,4
1.03,0.565,2
0.046,0.796,0
0.382,0.755,0
0.23,0.571,0
0.699,0.8,3
0.243,0.911,0
0.026,0.798,0
1.028,0.582,2
0.25,0.547,0
0.297,0.906,0
0.467,0.072,4
1.075,0.552,2
0.477,0.745,3
0.647,0.841,3
0.302,0.541,0
0.178,0.761,0
0.282,0.571,0
1.035,0.533,2
1.052,0.521,2
0.719,0.826,3
1.058,0.567,2
0.353,0.891,0
0.676,0.78,3
0.127,0.733,0
0.459,0.767,3
0.22,0.508,0
0.736,0.796,3
1.001,0.557,2
0.043,0.752,0
0.411,0.084,1
0.55,0.139,4
0.66,0.839,3
0.002,0.847,0
0.972,0.508,2
0.444,0.103,4
0.275,0.894,0
0.685,0.752,3
0.46,0.768,3
0.378,0.062,1
0.302,0.526,0
0.139,0.766,0
0.135,0.775,0
0.676,0.815,3
0.922,0.48,2
0.488,0.027,4
0.692,0.768,3
0.08,0.762,0
0.497,0.091,4
0.015,0.797,0
0.509,0.114,4
1.006,0.562,2
0.489,0.019,4
0.091,0.743,0
0.298,1.015,0
0.656,0.85,3
0.018,0.804,0
0.21,0.898,0
0.503,0.072,4
0.13,0.809,0
0.939,0.495,2
0.438,0.753,3
0.636,0.807,3
0.552,0.013,4
0.474,0.079,4
0.624,0.808,3
0.668,0.736,3
0.261,0.507,0
0.288,0.975,0
0.456,0.704,3
0.312,0.922,0
0.296,0.916,0
0.478,0.756,3
0.033,0.792,0
0.073,0.77,0
0.032,0.814,0
0.507,0.092,4
0.083,0.798,0
0.504,0.085,4
0.501,0.016,4
0.373,0.045,1
0.257,0.492,0
0.382,0.106,1
0.727,0.841,3
0.41,0.743,3
0.485,0.051,4
0.302,0.84,0
0.397,0.048,1
0.005,0.794,0
0.299,0.483,0
0.506,0,4
0.492,0.1,4
0.639,0.891,3
0.3,0.488,0
0.249,0.876,0
0.01,0.792,0
0.449,0.692,3
0.703,0.772,3
0.245,0.968,0
0.271,0.949,0
0.604,0.824,3
0.376,0.052,1
0.51,0.128,4
0.338,0.061,1
0.076,0.766,0
0.717,0.808,3
0.467,0.058,4
0.051,0.775,0
0.476,0.77,3
0.236,0.385,0
0.489,0.081,4
0.546,0.094,4
0.999,0.517,2
0.221,0.485,0
0.077,0.724,0
0.505,0.015,4
0.253,0.533,0
0.402,0.703,3
0.296,0.509,0
0.676,0.809,3
0.289,0.925,0
1.058,0.496,2
0.093,0.81,0
0.464,0.777,3
0.423,0.056,1
0.324,0.911,0
0.424,0.733,3
0.028,0.785,0
0.232,0.523,0
0.424,0.096,1
0.329,0.483,0
0.255,0.106,1
0.508,0.107,4
0.403,0.107,1
0.41,0.001,1
0.267,0.916,0
0.391,0.088,1
0.123,0.786,0
0.473,0.759,3
0.592,0.045,4
0.878,0.444,2
0.043,0.7,0
0.408,0.123,1
0.402,0.134,1
0.246,0.535,0
0.248,0.919,0
0.55,0.075,4
0.012,0.753,0
0.729,0.81,3
0.287,0.953,0
0.278,0.855,0
0.132,0.822,0
0.096,0.721,0
0.424,0.043,1
0.663,0.731,3
0.481,0.004,4
0.493,0.038,4
0.193,0.48,0
0.28,0.545,0
0.402,0.035,1
1.063,0.449,2
0.341,0.826,0
0.352,0.082,1
0.918,0.557,2
0.34,0.083,1
0.093,0.769,0
0.308,0.881,0
0.244,0.502,0
0.385,0.69,0
0.248,0.541,0
0.131,0.734,0
0.442,0.12,4
0.308,0.489,0
0.455,0.72,3
0.38,0.041,1
0.299,0.905,0
0.333,0.508,0
0.269,0.888,0
0.623,0.773,3
0.337,0.865,0
0.477,0.076,4
0.304,0.849,0
0.692,0.8,3
0.059,0.827,0
0.356,0.712,0
0.043,0.866,0
0.629,0.847,3
0.253,0.922,0
0.706,0.795,3
0.567,0.023,4
0.242,0.435,0
0.025,0.775,0
0.028,0.868,0
0.954,0.555,2
0.054,0.758,0
0.203,0.501,0
0.394,0.741,0
0.449,0.671,3
0.668,0.755,3
0.115,0.809,0
0.725,0.769,3
0.232,0.923,0
0.956,0.571,2
0.665,0.785,3
0.466,0.094,4
0.305,0.045,1
0.184,0.519,0
0.993,0.573,2
0.389,0.086,1
0.472,0.663,3
0.635,0.799,3
0.27,0.873,0
0.226,0.591,0
0.581,0.006,4
0.328,0.542,0
0.278,0.867,0
0.296,0.465,0
0.343,0.052,1
0.772,0.792,3
0.335,1.007,0
0.639,0.805,3
0.492,0.109,4
0.32,0.904,0
0.303,0.457,0
0.425,0.725,3
0.999,0.579,2
0.493,0.089,4
0.304,0.883,0
0.687,0.818,3
0.385,0.079,1
0.491,0.669,3
0.419,0.042,1
0.203,0.52,0
0.48,0.042,4
0.4,0.936,3
0.416,0.747,3
0.72,0.767,3
0.419,0.739,3
0.251,0.441,0
0.115,0.819,0
0.276,0.5,0
0.573,0.056,4
0.259,0.497,0
0.606,0.82,3
0.595,0.734,3
0.432,0.77,3
0.055,0.799,0
0.383,0.712,0
0.339,0.071,1
0.703,0.879,3
0.673,0.827,3
0.363,0.056,1
0.468,0.771,3
0.472,0.712,3
0.926,0.497,2
0.3,0.98,0
0.399,0.044,1
0.72,0.879,3
0.37,0.125,1
0.472,0.11,4
0.032,0.743,0
0.456,0.68,3
0.766,0.848,3
0.745,0.757,3
0.349,0.866,0
0.517,0.001,4
1.014,0.515,2
0.375,0.114,1
0.133,0.765,0
0.199,0.497,0
1.004,0.569,2
0.064,0.8,0
1.006,0.524,2
0.106,0.819,0
0.238,0.851,0
0.943,0.549,2
0.465,0.098,4
0.524,0.088,4
0.287,0.575,0
0.972,0.579,2
0.024,0.737,0
0.917,0.528,2
0.387,0.075,1
0.507,0.09,4
0.426,0.202,1
0.448,0.09,4
0.231,0.52,0
0.29,0.497,0
0.265,0.422,0
0.675,0.805,3
0.422,0.7,3
0.043,0.758,0
0.686,0.875,3
0.259,0.557,0
0.597,0.133,4
0.262,0.49,0
0.089,0.83,0
0.089,0.827,0
0.042,0.782,0
0.018,0.847,0
0.378,0.008,1
0.263,0.883,0
0.368,0.075,1
0.41,0.087,1
0.275,0.936,0
0.066,0.831,0
0.668,0.797,3
0.331,0.924,0
0.096,0.753,0
0.037,0.801,0
0.43,0.104,1
0.255,0.818,0
1.009,0.522,2
0.435,0.652,3
0.734,0.796,3
0.232,0.516,0
0.338,0.417,0
0.037,0.786,0
1.008,0.534,2
0.222,0.947,0
0.291,0.539,0
0.21,0.454,0
0.497,0.757,3
0.481,0.027,4
0.943,0.491,2
0.468,0.067,4
0.245,0.505,0
0.382,0.108,1
0.288,0.524,0
0.92,0.532,2
0.207,0.438,0
0.67,0.798,3
0.98,0.594,2
0.494,0.075,4
0.457,0.053,4
0.265,0.543,0
0.548,0.07,4
0.321,0.896,0
0.324,0.483,0
0.377,0.139,1
0.262,0.468,0
0.932,0.589,2
0.337,0.044,1
0.335,0.025,1
0.124,0.832,0
0.39,0.687,0
0.975,0.509,2
0.653,0.866,3
0.363,0.034,1
0.642,0.832,3
0.413,0.077,1
0.429,0.095,1
0.93,0.54,2
0.28,1.041,0
0.475,0.141,4
0.273,0.507,0
0.273,0.908,0
0.941,0.565,2
0.974,0.517,2
0.319,0.897,0
0.085,0.799,0
0.524,0.064,4
0.37,0.067,1
0.523,0.11,4
0.341,0.125,1
0.4,0.075,1
0.713,0.861,3
0.463,0.778,3
0.707,0.789,3
0.381,0.007,1
0.473,0.149,4
0.057,0.786,0
0.311,0.872,0
0.328,0.072,1
0.524,0.093,4
0.698,0.715,3
0.468,0.683,3
0.402,0.017,1
0.425,0.058,1
0.393,0.107,1
0.504,0.072,4
0.177,0.783,0
0.676,0.84,3
0.518,0.095,4
0.689,0.816,3
0.35,0.05,1
0.576,0.12,4
0.094,0.802,0
1.037,0.547,2
0.385,0.738,0
0.435,0.093,1
0.427,0.736,3
0.964,0.543,2
0.656,0.799,3
0.431,0.701,3
0.309,0.951,0
0.708,0.786,3
0.229,0.915,0
0.475,0.736,3
0.315,0.058,1
0.981,0.555,2
0.105,0.812,0
0.336,0.069,1
0.08,0.758,0
0.945,0.605,2
0.637,0.766,3
0.61,0.802,3
0.398,0.771,3
0.995,0.578,2
0.407,0.697,3
0.736,0.781,3
0.323,0.102,1
0.178,0.842,0
0.684,0.812,3
0.91,0.537,2
0.931,0.533,2
0.048,0.768,0
0.394,0.121,1
0.696,0.769,3
0.448,0.018,4
0.632,0.771,3
0.457,0.736,3
0.234,0.525,0
0.365,0.044,1
0.095,0.71,0
0.376,0.937,3
0.947,0.496,2
0.68,0.821,3
0.449,0.774,3
0.593,0.753,3
0.238,0.451,0
0.624,0.831,3
0.707,0.807,3
0.535,0.103,4
0.479,0.077,4
0.091,0.77,0
0.221,0.896,0
0.984,0.592,2
0.644,0.85,3
0.254,0.871,0
0.324,0.146,1
0.977,0.591,2
0.697,0.841,3
0.702,0.751,3
0.043,0.805,0
0.347,0.073,1
0.379,0.05,1
0.351,0.076,1
0.74,0.825,3
0.908,0.53,2
0.407,0.739,3
0.486,0.14,4
0.394,0.785,3
0.516,0.098,4
0.641,0.786,3
1.008,0.515,2
0.63,0.855,3
0.246,0.55,0
0.06,0.741,0
0.671,0.827,3
0.26,0.846,0
0.289,0.874,0
0.999,0.558,2
0.076,0.722,0
0.682,0.801,3
0.53,0.016,4
0.135,0.785,0
0.709,0.806,3
0.429,0.033,1
1.03,0.507,2
0.313,0.513,0
0.523,0.04,4
0.996,0.528,2
0.318,0.953,0
0.085,0.772,0
0.612,0.783,3
0.438,0.711,3
0.705,0.802,3
0.475,0.721,3
0.462,0.055,4
0.048,0.797,0
0.449,0.105,4
0.992,0.582,2
0.339,0.562,0
0.412,0.081,1
0.351,0.071,1
0.076,0.804,0
0.425,0.72,3
0.184,0.503,0
0.105,0.756,0
0.464,0.13,4
0.667,0.8,3
0.561,0.067,4
0.41,0.723,3
0.102,0.83,0
0.443,0.719,3
0.963,0.556,2
0.292,0.985,0
0.236,0.518,0
0.96,0.525,2
0.444,0.792,3
0.197,0.522,0
0.053,0.835,0
